,Event,dist(km),OC,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
M50MHur,50Hur,0,6.25,0,0,0,0,0,0,0,0,0,0.8039,0.8493,0.8972,0.9241,0.9855,0.9993,1,1,1,1,1,1,1,1,1,1,1.0153,1.0055,0.9973,0.9878,0.9799,0.9707,0.9631,0.9542,0.9468,0.9383,0.9311,0.9229,0.9159,0.908,0.9012,0.8935,0.887,0.8795,0.8732,0.867,0.866,0.8619,0.8578,0.8538,0.8498,0.8459,0.8391,0.8314,0.8249,0.8175,0.843,0.8249,0.8075,0.7909,0.7758,0.7604,0.7457,0.7315,0.7185,0.7053,0.7381,0.7359,0.7329,0.7307,0.7285,0.7256,0.7235,0.6913,0.6612,0.6342,0.6266,0.6003,0.5762,0.5534,0.5328,0.5137,0.4876,0.4641,0.443,0.4234,0.4056,0.3842,0.365,0.3476,0.3318,0.3174,0.2987,0.2821,0.2672,0.2538,0.2417
M55MHur,55Hur,0,6.76,0,0,0,0,0,0,0,0,0,0.8039,0.8493,0.8972,0.9241,0.9855,0.9992,1,1,1,1,1,1,1,1,1,1,1.0153,1.0055,0.9973,0.9878,0.9799,0.9707,0.9631,0.9542,0.9468,0.9383,0.9311,0.9229,0.9159,0.908,0.9012,0.8935,0.887,0.8795,0.8732,0.867,0.866,0.8619,0.8578,0.8538,0.8498,0.8459,0.8391,0.8314,0.8249,0.8175,0.843,0.8249,0.8075,0.7909,0.7758,0.7604,0.7457,0.7315,0.7185,0.7053,0.7381,0.7359,0.7329,0.7307,0.7285,0.7256,0.7235,0.6913,0.6612,0.6342,0.6266,0.6003,0.5762,0.5534,0.5328,0.5137,0.4876,0.4641,0.443,0.4234,0.4056,0.3842,0.365,0.3476,0.3318,0.3174,0.2987,0.2821,0.2672,0.2538,0.2417
M60MHur,60Hur,0,7.3,0,0,0,0,0,0,0,0,0,0.8039,0.8494,0.8972,0.9241,0.9855,0.9992,1,1,1,1,1,1,1,1,1,1,1.0153,1.0055,0.9973,0.9878,0.9799,0.9707,0.9631,0.9542,0.9468,0.9383,0.9311,0.9229,0.9159,0.908,0.9012,0.8935,0.887,0.8795,0.8732,0.867,0.866,0.8619,0.8578,0.8538,0.8498,0.8459,0.8391,0.8314,0.8249,0.8175,0.843,0.8249,0.8075,0.7909,0.7758,0.7604,0.7457,0.7315,0.7185,0.7053,0.7381,0.7359,0.7329,0.7307,0.7285,0.7256,0.7235,0.6913,0.6612,0.6342,0.6266,0.6003,0.5762,0.5534,0.5328,0.5137,0.4876,0.4641,0.443,0.4234,0.4056,0.3842,0.365,0.3476,0.3318,0.3174,0.2987,0.2821,0.2672,0.2538,0.2417
MShortHur,ShortHur,0,12.91,0,0,0,0,0,0,0,0,0,0.8039,0.8493,0.8972,0.9241,0.9855,0.9992,1,1,1,1,1,1,1,1,1,1,1.0148,1.0118,1.0088,1.0059,1.0029,0.9999,0.9912,0.9824,0.9737,0.9649,0.9562,0.9483,0.9404,0.9326,0.9247,0.9168,0.9096,0.9024,0.8952,0.888,0.9745,0.9613,0.9481,0.9349,0.9217,0.9085,0.897,0.8855,0.8739,0.8624,0.9017,0.8879,0.8741,0.8602,0.8464,0.8326,0.8208,0.8089,0.7971,0.7852,0.9938,0.9838,0.9738,0.9637,0.9537,0.9437,0.9237,0.9037,0.8838,0.8638,0.8607,0.8361,0.8115,0.7869,0.7623,0.7377,0.7131,0.6885,0.664,0.6394,0.6148,0.5875,0.5601,0.5328,0.5054,0.4781,0.447,0.416,0.3849,0.3539,0.3228
MLongHur,LongHur,0,46.78,0,0,0,0,0,0,0,0,0,0.8692,0.9083,0.9375,0.9588,0.9742,0.985,1,1,1,1,1,1,1,1,1,1,1,1,0.9964,0.9855,0.975,0.9647,0.9545,0.9447,0.9349,0.9254,0.9162,0.9069,0.8981,0.8892,0.8806,0.8723,0.8639,0.8558,0.8478,0.84,0.8052,0.8032,0.8014,0.7995,0.7976,0.7958,0.794,0.7828,0.7719,0.7614,1.1056,1.0979,1.0899,1.0824,1.0627,1.0435,1.0252,1.0075,0.9903,0.9738,0.9945,0.9724,0.9512,0.9309,0.9115,0.8931,0.8752,0.858,0.8415,0.8256,0.8103,0.7958,0.7818,0.7683,0.7551,0.7425,0.7045,0.6702,0.6391,0.6107,0.5847,0.5439,0.5085,0.4773,0.4499,0.4253,0.3692,0.3262,0.2921,0.2645,0.2417
MSteeple.,Steeple,0,473.63,0,0,0,0,0,0,0,0,0,1.3336,1.3842,1.4235,1.4444,0.9818,0.9929,1,1,1,1,1,1,1,1,1,1,1,0.9999,0.9897,0.9798,0.97,0.9605,0.9511,0.9419,0.9329,0.9241,0.9154,0.9069,0.8986,0.8904,0.8823,0.8744,0.8666,0.859,0.8515,0.8442,0.8369,0.8298,0.8228,0.8159,0.8092,0.8025,0.7959,0.7895,0.7832,0.7769,1.2139,1.1862,1.1599,1.1346,1.1106,1.0875,1.0653,1.044,1.0236,1.0039,0.985,0.9668,0.9493,0.9323,0.916,0.9002,0.885,0.8702,0.856,0.8422,0.8288,0.8066,0.7856,0.7657,0.7467,0.7287,0.7007,0.6747,0.6506,0.6281,0.6072,0.5748,0.5456,0.5193,0.4954,0.4736,0.4504,0.4293,0.4101,0.3926,0.3765
M1500mWalk,1500mWalk,0,309,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,0.9996,0.9985,0.9968,0.9945,0.9915,0.9879,0.9837,0.9788,0.9734,0.9673,0.9605,0.9532,0.9458,0.9384,0.931,0.9235,0.9161,0.9087,0.9013,0.8939,0.8865,0.879,0.8716,0.8642,0.8568,0.8494,0.842,0.8345,0.8269,0.8193,0.8116,0.8039,0.796,0.7881,0.7801,0.772,0.7639,0.7557,0.7474,0.739,0.7306,0.722,0.7134,0.7048,0.696,0.6872,0.6783,0.6693,0.6603,0.6512,0.642,0.6327,0.6234,0.6139,0.6044,0.5949,0.5852,0.5755,0.5657,0.5558,0.5459,0.5358,0.5257,0.5156,0.5053,0.495,0.4846,0.4741,0.4636,0.4529,0.4422,0.4315,0.4206
MMileWalk,1MileWalk,0,332.37,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,0.9996,0.9985,0.9968,0.9945,0.9916,0.988,0.9838,0.9789,0.9735,0.9674,0.9606,0.9533,0.9459,0.9385,0.9311,0.9237,0.9162,0.9088,0.9014,0.894,0.8866,0.8792,0.8718,0.8643,0.8569,0.8495,0.8421,0.8346,0.8271,0.8195,0.8118,0.804,0.7962,0.7882,0.7802,0.7722,0.764,0.7558,0.7475,0.7391,0.7307,0.7222,0.7136,0.7049,0.6961,0.6873,0.6784,0.6694,0.6604,0.6512,0.642,0.6327,0.6234,0.6139,0.6044,0.5948,0.5852,0.5755,0.5656,0.5558,0.5458,0.5357,0.5256,0.5154,0.5052,0.4948,0.4844,0.4739,0.4634,0.4527,0.442,0.4312,0.4203
M3kmWalk,3kmWalk,0,631.42,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,0.9997,0.9987,0.9972,0.995,0.9922,0.9887,0.9846,0.9799,0.9746,0.9686,0.9621,0.9549,0.9475,0.9401,0.9327,0.9253,0.9179,0.9105,0.9031,0.8957,0.8883,0.8809,0.8735,0.8661,0.8587,0.8513,0.8439,0.8364,0.8289,0.8213,0.8136,0.8058,0.798,0.7901,0.782,0.7739,0.7658,0.7575,0.7492,0.7407,0.7322,0.7236,0.715,0.7062,0.6974,0.6885,0.6795,0.6704,0.6612,0.652,0.6426,0.6332,0.6237,0.6142,0.6045,0.5948,0.585,0.5751,0.5651,0.555,0.5449,0.5346,0.5243,0.5139,0.5035,0.4929,0.4823,0.4715,0.4607,0.4499,0.4389,0.4278,0.4167
