,Event,dist(km),OC,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
F50FHur,50Hur,0,6.58,0,0,0,0,0,0,0,0,0,0.7021,0.911,0.9828,0.9976,0.9998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.9809,0.971,0.9155,0.9047,0.8942,0.8849,0.8749,0.865,0.8554,0.8469,0.8377,0.8287,0.8368,0.8269,0.8172,0.8078,0.7994,0.7903,0.7815,0.7729,0.7644,0.7569,0.7667,0.7569,0.7466,0.7373,0.7282,0.7187,0.7101,0.701,0.6928,0.6842,0.6763,0.6652,0.655,0.6446,0.635,0.6252,0.6123,0.5998,0.5879,0.5765,0.5654,0.5477,0.5311,0.5154,0.5007,0.4867,0.4678,0.4502,0.434,0.4188,0.4047,0.3845,0.3662,0.3495,0.3343,0.3204,0.3009,0.2835,0.268,0.2541,0.2417
F55FHur,55Hur,0,7.12,0,0,0,0,0,0,0,0,0,0.7021,0.911,0.9828,0.9976,0.9998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.9809,0.971,0.9155,0.9047,0.8942,0.8849,0.8749,0.865,0.8554,0.8469,0.8377,0.8287,0.8368,0.8269,0.8172,0.8078,0.7994,0.7903,0.7815,0.7729,0.7644,0.7569,0.7667,0.7569,0.7466,0.7373,0.7282,0.7187,0.7101,0.701,0.6928,0.6842,0.6763,0.6652,0.655,0.6446,0.635,0.6252,0.6123,0.5998,0.5879,0.5765,0.5654,0.5477,0.5311,0.5154,0.5007,0.4867,0.4678,0.4502,0.434,0.4188,0.4047,0.3845,0.3662,0.3495,0.3343,0.3204,0.3009,0.2835,0.268,0.2541,0.2417
F60FHur,60Hur,0,7.69,0,0,0,0,0,0,0,0,0,0.7021,0.911,0.9828,0.9976,0.9998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.9809,0.971,0.9155,0.9047,0.8942,0.8849,0.8749,0.865,0.8554,0.8469,0.8377,0.8287,0.8368,0.8269,0.8172,0.8078,0.7994,0.7903,0.7815,0.7729,0.7644,0.7569,0.7667,0.7569,0.7466,0.7373,0.7282,0.7187,0.7101,0.701,0.6928,0.6842,0.6763,0.6652,0.655,0.6446,0.635,0.6252,0.6123,0.5998,0.5879,0.5765,0.5654,0.5477,0.5311,0.5154,0.5007,0.4867,0.4678,0.4502,0.434,0.4188,0.4047,0.3845,0.3662,0.3495,0.3343,0.3204,0.3009,0.2835,0.268,0.2541,0.2417
FShortHur,ShortHur,0,12.21,0,0,0,0,0,0,0,0,0,0.8617,0.8829,0.9105,0.9328,0.9509,0.966,1,1,1,1,1,1,1,1,1,1,1,0.9959,0.9919,0.9879,0.9831,0.9791,0.9737,0.9683,0.9629,0.9576,1.0941,1.0824,1.072,1.0608,1.0499,1.0383,1.0278,1.0183,1.0083,0.9984,1.0517,1.04,1.0278,1.0158,1.0041,0.9919,0.9815,0.9706,0.9599,0.9495,0.9502,0.9314,0.9126,0.8939,0.8753,0.8568,0.8334,0.8102,0.7867,0.7636,0.74,0.7221,0.7046,0.6867,0.669,0.6512,0.6271,0.603,0.5789,0.555,0.5309,0.5152,0.4994,0.4838,0.4678,0.4522,0.4358,0.4193,0.4028,0.3864,0.37,0.3556,0.3411,0.3267,0.3122,0.2978,0.2866,0.2754,0.2641,0.2529,0.2417
FLongHur,LongHur,0,52.34,0,0,0,0,0,0,0,0,0,1.7144,0.8933,0.9216,0.9441,0.9618,0.9758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9887,0.9729,0.9576,0.9429,0.9285,0.9146,0.901,0.888,0.8753,0.8628,0.8508,0.8392,0.8278,0.8167,1.1572,1.1376,1.1186,1.1,1.0823,1.0651,1.0485,1.0323,1.0165,1.0013,1.0941,1.0767,1.0599,1.0435,1.0277,1.0124,0.9956,0.9794,0.9637,0.9485,0.9338,0.9133,0.8936,0.875,0.8569,0.8397,0.8193,0.7999,0.7815,0.7639,0.747,0.7221,0.6988,0.677,0.6565,0.6372,0.6085,0.5824,0.5583,0.5362,0.5158,0.4751,0.4403,0.4103,0.3841,0.3611,0.3286,0.3015,0.2785,0.2588,0.2417
FSteeple.,Steeple,0,541.59,0,0,0,0,0,0,0,0,0,1.2796,1.3548,1.4094,1.4478,0.9824,0.9936,1,1,1,1,1,1,1,1,1,1,1.4474,1.4351,1.423,1.4109,1.3992,1.3876,1.3762,1.3651,1.354,1.3432,1.3325,1.3221,1.3117,1.3015,1.2916,1.2816,1.272,1.2624,1.2531,1.2437,1.2346,1.2256,1.2167,1.208,1.1993,1.1908,1.1701,1.1502,1.1309,1.1122,1.0941,1.0767,1.0599,1.0435,1.0277,1.0123,0.9956,0.9794,0.9637,0.9485,0.9338,0.9133,0.8937,0.8749,0.8569,0.8397,0.8193,0.8,0.7815,0.7639,0.747,0.7221,0.6988,0.677,0.6565,0.6372,0.6085,0.5824,0.5583,0.5362,0.5158,0.4751,0.4403,0.4103,0.3841,0.3611,0.3286,0.3015,0.2785,0.2588,0.2417
F1500mWalk,1500mWalk,0,337,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9625,0.955,0.9475,0.94,0.9325,0.925,0.9175,0.91,0.9025,0.895,0.8875,0.88,0.8725,0.865,0.8575,0.85,0.8424,0.8346,0.8267,0.8187,0.8106,0.8024,0.794,0.7855,0.7769,0.7682,0.7593,0.7503,0.7412,0.732,0.7226,0.7131,0.7035,0.6938,0.6839,0.6739,0.6638,0.6536,0.6433,0.6328,0.6222,0.6115,0.6006,0.5896,0.5785,0.5673,0.556,0.5445,0.5329,0.5212,0.5094,0.4974,0.4853,0.4731,0.4608,0.4483,0.4357,0.423,0.4102,0.3972,0.3841
FMileWalk,1MileWalk,0,362,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9625,0.955,0.9475,0.94,0.9325,0.925,0.9175,0.91,0.9025,0.895,0.8875,0.88,0.8725,0.865,0.8575,0.8499,0.8423,0.8344,0.8265,0.8185,0.8103,0.802,0.7935,0.785,0.7763,0.7675,0.7586,0.7495,0.7404,0.7311,0.7216,0.7121,0.7024,0.6926,0.6827,0.6727,0.6625,0.6522,0.6418,0.6313,0.6206,0.6098,0.5989,0.5879,0.5767,0.5655,0.554,0.5425,0.5309,0.5191,0.5072,0.4952,0.483,0.4707,0.4583,0.4458,0.4332,0.4204,0.4075,0.3945,0.3814
F3kmWalk,3kmWalk,0,695,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9625,0.955,0.9475,0.94,0.9325,0.925,0.9175,0.91,0.9025,0.895,0.8875,0.8799,0.8722,0.8643,0.8563,0.8482,0.84,0.8317,0.8232,0.8146,0.8059,0.797,0.7881,0.779,0.7697,0.7604,0.7509,0.7414,0.7316,0.7218,0.7118,0.7018,0.6915,0.6812,0.6708,0.6602,0.6495,0.6386,0.6277,0.6166,0.6054,0.5941,0.5826,0.5711,0.5594,0.5476,0.5356,0.5235,0.5113,0.499,0.4866,0.474,0.4613,0.4485,0.4356,0.4225,0.4093,0.396,0.3826,0.369,0.3554
